Show,Musician,Date,Time,Link,Artists
0,Richie Vitale Quintet,25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24965-richie-vitale-quintet/,Richie Vitale / Trumpet
0,Richie Vitale Quintet,25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24965-richie-vitale-quintet/,Frank Basile / Baritone Sax
0,Richie Vitale Quintet,25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24965-richie-vitale-quintet/,Steve Ash / Piano
0,Richie Vitale Quintet,25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24965-richie-vitale-quintet/,Caleb  Tobocman / Bass
0,Richie Vitale Quintet,25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24965-richie-vitale-quintet/,Clifford Barbaro / Drums
1,"Jamile, Steve Wilson & Yotam Silberstein",25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24964-jamile-steve-wilson-yotam-silberstein/,Jamile   / Vocalist
1,"Jamile, Steve Wilson & Yotam Silberstein",25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24964-jamile-steve-wilson-yotam-silberstein/,Steve Wilson / Alto Sax
1,"Jamile, Steve Wilson & Yotam Silberstein",25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24964-jamile-steve-wilson-yotam-silberstein/,Yotam Silberstein / Guitar
2,Dan Aran Quartet & Jam Session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24967-dan-aran-quartet-jam-session/,Dan Aran / Drums
2,Dan Aran Quartet & Jam Session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24967-dan-aran-quartet-jam-session/,Wayne Tucker / Trumpet
2,Dan Aran Quartet & Jam Session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24967-dan-aran-quartet-jam-session/,Miki Yamanaka / Piano
2,Dan Aran Quartet & Jam Session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24967-dan-aran-quartet-jam-session/,Joseph Lepore / Bass
3,Naama Gheber polite jam session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24966-naama-gheber-polite-jam-session/,Naama . / Vocalist
3,Naama Gheber polite jam session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24966-naama-gheber-polite-jam-session/,Leandro Pellegrino / Guitar
3,Naama Gheber polite jam session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24966-naama-gheber-polite-jam-session/,Dave Baron / Bass
4,Russell Hall Quartet,26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24973-russell-hall-quartet/,Russell Hall / Bass
4,Russell Hall Quartet,26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24973-russell-hall-quartet/,Mike  Troy / Alto Sax
4,Russell Hall Quartet,26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24973-russell-hall-quartet/,Leo  Larrett / Guitar
4,Russell Hall Quartet,26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24973-russell-hall-quartet/,Lesley Mok / Drums
5,"Alan Broadbent, Harvie S & Billy Mintz",26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24968-alan-broadbent-harvie-s-billy-mintz/,Alan Broadbent / Piano
5,"Alan Broadbent, Harvie S & Billy Mintz",26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24968-alan-broadbent-harvie-s-billy-mintz/,Harvie S / Bass
5,"Alan Broadbent, Harvie S & Billy Mintz",26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24968-alan-broadbent-harvie-s-billy-mintz/,Billy Mintz / Drums
6,MIKI YAMANAKA TRIO & Jam Session,26-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/25113-miki-yamanaka-trio-jam-session/,Miki Yamanaka / Piano
6,MIKI YAMANAKA TRIO & Jam Session,26-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/25113-miki-yamanaka-trio-jam-session/,Harish Raghavan / Bass
6,MIKI YAMANAKA TRIO & Jam Session,26-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/25113-miki-yamanaka-trio-jam-session/,Jimmy Macbride / Drums
