name,username,follower,tweet,retweets,replies,likes,impressions,createdat,tweetId,authorId
Tucker Carlson,TuckerCarlson,12470899,Ep. 73  The Vladimir Putin Interview https://t.co/67YuZRkfLL,274848,83534,1039720,208073338,2024-02-08T23:25:05.000Z,1755734526678925682,22703645
Tucker Carlson,TuckerCarlson,12470899,Why I'm interviewing Vladimir Putin. https://t.co/hqvXUZqvHX,149330,58692,643411,117449611,2024-02-06T18:44:57.000Z,1754939251257475555,22703645
Elon Musk,elonmusk,173959238,This is a test,21541,0,191140,54684955,2024-02-21T23:29:19.000Z,1760446632678834540,44196397
Joe Biden,JoeBiden,37884898,Just like we drew it up. https://t.co/9NBvc5nVZE,100591,73905,556280,228092208,2024-02-12T03:50:27.000Z,1756888470599967000,939091
Elon Musk,elonmusk,173959238,https://t.co/siNIJpXSBX,57034,21275,672037,75419700,2024-02-16T18:30:16.000Z,1758559437420122553,44196397
Elon Musk,elonmusk,173959238,"Biden’s strategy is very simple:

1. Get as many illegals in the country as possible.

2. Legalize them to create a permanent majority – a one-party state.

That is why they are encouraging so much illegal immigration. Simple, yet effective. https://t.co/B9M5ypUOQB",67841,30730,262646,48305511,2024-02-03T01:26:38.000Z,1753590787130994745,44196397
Al Jazeera English,AJEnglish,8816420,"Here is a list of the names we know from the more than 11,500 Palestinian children killed during Israel’s continuing war on Gaza ⤵️

Know their names: https://t.co/l9T4EJlRKT https://t.co/vaLsXK7r6P",76191,3155,88379,27221786,2024-02-02T12:52:33.000Z,1753401017469633010,4970411
Elon Musk,elonmusk,173959238,"Which path, Western World? https://t.co/b2tLjQ2NVD",88594,62475,728567,67430703,2024-02-13T18:37:47.000Z,1757474164850798632,44196397
UNRWA,UNRWA,227170,There are no words. https://t.co/47DQo3FqXC,65213,20286,144530,47437450,2024-02-17T17:57:28.000Z,1758913569490424170,42604302
Lula,LulaOficial,8713648,"Da mesma forma que eu disse quando estava preso que eu não aceitaria acordo para sair da cadeia e que eu não trocaria a minha liberdade pela minha dignidade, eu digo: não troco a minha dignidade pela falsidade. Eu sou favorável à criação do Estado Palestino livre e soberano. Que… https://t.co/FC3mqsXthB",46703,18239,263946,12604659,2024-02-23T23:42:11.000Z,1761174646177607773,2670726740
Elon Musk,elonmusk,173959238,"An anonymous source just sent me this from Disney. It is mandatory, institutionalized racism and sexism! https://t.co/npMy8YfA1j",55533,19125,226542,55206576,2024-02-06T22:44:40.000Z,1754999578619707658,44196397
President Biden,POTUS,34257925,"I won't mince words.
 
The overwhelming majority of Palestinians are not Hamas. And Hamas does not represent the Palestinian people.
 
In fact, they're also suffering as a result of Hamas' terrorism. We need to be clear-eyed about that reality.",7742,27457,50888,14267507,2024-02-22T23:42:34.000Z,1760812355204592101,1349149096909668363
Sulaiman Ahmed,ShaykhSulaiman,414376,"BREAKING: HAMAS OFFICIAL STATEMENT

“Video clips taken on that day – Oct. 7 – along with the testimonies by Israelis themselves that were released later showed that the Al-Qassam Brigades’ fighters didn’t target civilians, and many Israelis were killed by the Israeli army and… https://t.co/HNdjLauMIJ https://t.co/K1z7rtCu9c",4808,2748,12078,1609501,2024-02-01T11:15:07.000Z,1753014108633338341,1291128494
Philippe Lazzarini,UNLazzarini,74743,"- UNRWA did not know what is under its headquarters in Gaza.

- UNRWA is made aware of reports through the media regarding a tunnel under the UNRWA Headquarters in Gaza.

- UNRWA staff left its headquarters in Gaza City on 12 October following the Israeli evacuation orders and as… https://t.co/Zt2c6ZPdRA",1743,0,3953,10347102,2024-02-10T18:01:42.000Z,1756377920254218556,1568300168
Elon Musk,elonmusk,173959238,"I’m glad that Google overplayed their hand with their AI image generation, as it made their insane racist, anti-civilizational programming clear to all",64147,11481,394199,44628851,2024-02-23T02:10:35.000Z,1760849603119947981,44196397
Elon Musk,elonmusk,173959238,Amazing that some people still think the news is real 😂,55151,28045,385173,52062602,2024-02-14T18:54:33.000Z,1757840768923021363,44196397
Elon Musk,elonmusk,173959238,https://t.co/OAky3fBywu,86643,21381,454655,52680922,2024-02-06T19:41:49.000Z,1754953564173042041,44196397
Elon Musk,elonmusk,173959238,Which path do you want for AI? https://t.co/1OoujRZokn,43332,30411,377876,47353677,2024-02-22T04:07:51.000Z,1760516729783148583,44196397
Out of Context Human Race,NoContextHumans,3818658,https://t.co/9zx5kubgX6,14011,30249,336308,105402493,2024-02-06T01:30:00.000Z,1754678796958204235,1138842105856573445
Gringo Starr,JakeDuarte43,5633,"First moon landing in over 50 yrs, some of these new images are absolutely Amazing! :) https://t.co/GMqsC65tvv",5074,2694,99031,4458240,2024-02-22T21:21:54.000Z,1760776954024952012,571925138
Javier Milei,JMilei,2640743,"CAMBIO DE REGLAS 

El gobierno nacional asumió con la responsabilidad de arreglar tres problemas fundamentales que sufre nuestro país: la inflación, la inseguridad y los privilegios de los políticos. 

Nosotros vinimos a plantear un modelo distinto al modelo empobrecedor de los… https://t.co/RpumsCpMyW",29613,14669,114243,8944385,2024-02-09T21:06:03.000Z,1756061925710909788,4020276615
Elon Musk,elonmusk,173959238,"Most people in America don’t know that the census is based on a simple headcount of people (including illegals) *not* just citizens.  

This shifts political power and money to states and Congressional districts with the highest number of illegals.",41541,15015,172663,22792129,2024-02-03T16:12:17.000Z,1753813669945774393,44196397
World of Statistics,stats_feed,3643722,"Number of Super Bowl wins, by country:

🇺🇸 USA: 58
🇨🇦 Canada: 0
🇦🇺 Australia: 0
🇨🇳 China: 0
🇮🇳 India: 0
🇯🇵 Japan: 0
🇬🇧 UK: 0
🇷🇺 Russia: 0
🇩🇪 Germany: 0
🇪🇸 Spain: 0
🇮🇹 Italy: 0",9620,3519,194910,22101306,2024-02-18T03:30:00.000Z,1759057651231797286,1335132884278108161
Biden-Harris HQ,BidenHQ,306038,"Trump says he would encourage Russia to attack NATO allies: I said I would not protect our NATO allies. In fact, I would encourage Russia to do whatever the hell they want https://t.co/ak1a3Mtwzq",9622,7524,21433,39514276,2024-02-10T20:27:05.000Z,1756414506723320127,3315264553
RadioGenoa,RadioGenoa,537877,Children who participate in carnival in Spain dress in girls' clothes and paraded through cheering crowds. What do you think? https://t.co/p56ukDoazU,5044,10568,17405,11070570,2024-02-13T10:52:57.000Z,1757357184566841400,1429400366819512323
End Wokeness,EndWokeness,2314210,"Netflix made a new documentary about Alexander The Great. Within the first 8 minutes, they turned him gay. https://t.co/y56b4eDkjb",6229,16203,61904,25193371,2024-02-05T21:48:26.000Z,1754623037738045874,1552795969959636992
Gmail,gmail,7158060,Gmail is here to stay.,10019,5340,92840,12173145,2024-02-22T22:37:58.000Z,1760796097583194560,38679388
Congresswoman Rashida Tlaib,RepRashida,551962,I said what I said. https://t.co/jkjDAXfokp,20301,5886,109499,3292091,2024-02-07T14:57:36.000Z,1755244426396356820,1079769536730140672
Elon Musk,elonmusk,173959238,"A few other things you probably don’t know: illegals in America can get bank loans, mortgages, insurance, driver’s licenses, free healthcare (California &amp; New York) and in-state college tuition.

What’s the point of being a citizen if an illegal gets all the benefits, but doesn’t… https://t.co/KDcV9Xiab4",70086,28552,263136,34426375,2024-02-03T21:31:30.000Z,1753894000510341530,44196397
Out of Context Human Race,NoContextHumans,3818658,https://t.co/poWuB1EwyS,23322,4027,288661,70284481,2024-02-01T14:29:33.000Z,1753063037852844291,1138842105856573445
Stephen King,StephenKing,7129435,"Dear Elon: 
Twitter.
Twitter, Twitter.
Twitter, Twitter, Twitter.
Twitter, Twitter, Twitter, Twitter.
And so on.
Fuck your need to put your personal brand on everything.",37520,23261,315065,12273056,2024-02-15T22:42:56.000Z,1758260633814867976,2233154425
Elon Musk,elonmusk,173959238,"If you’re lucky, history remembers you as a salad https://t.co/1jQqFMWyVe",37641,12318,410434,40776286,2024-02-18T07:18:13.000Z,1759115086096908527,44196397
EoJz,EoJihz,2427,Abusing muscle memory in mw3 https://t.co/GQh1lNoEzE,589,2062,8444,30616383,2024-02-03T21:41:08.000Z,1753896425094611397,782424478810796032
Israel ישראל 🇮🇱,Israel,1569634,Before or after @LulaOficial went full on Holocaust denier? https://t.co/lI5tuLLL3o,4068,21915,36350,14358905,2024-02-20T16:27:10.000Z,1759978005638586630,52660746
DC_Draino,DC_Draino,1436126,"🚨The American Red Cross is now asking blood donors if they ever received the Covid vaccine

If you answer Yes, they want you to call ahead to see if you’re still eligible

I thought the vax was “safe and effective”?

What info are they hiding from us? https://t.co/xmEIaHE2gN",16883,4136,42659,16075044,2024-02-20T17:10:21.000Z,1759988876301516913,875856268056969216
